Path,Title,PageViews,Freshness (report),LastReviewed (report),LastReviewed (file)
powerbi-docs/visuals/power-bi-data-points.md,Apply data point limits and strategies by visual type - Power BI,589.0,> 365 days,2024-03-26,2024-03-26
powerbi-docs/create-reports/copilot-prompts-narratives.md,Write Copilot prompts to create narrative visuals in Power BI - Power BI,587.0,> 365 days,2024-01-11,2024-01-11
powerbi-docs/create-reports/power-bi-report-settings.md,Change settings for Power BI reports - Power BI,586.0,> 365 days,2024-06-25,2024-06-25
powerbi-docs/natural-language/q-and-a-best-practices.md,Best practices to optimize Q&A - Power BI,584.0,> 365 days,2023-01-06,2023-01-06
powerbi-docs/report-server/migrate-report-server.md,Migrate a report server installation - Power BI,581.0,> 365 days,2019-05-13,2019-05-13
powerbi-docs/connect-data/service-template-apps-install-distribute.md,"Install, share, and update template apps in your organization with Power BI - Power BI",578.0,> 365 days,2023-02-08,2023-02-08
powerbi-docs/developer/visuals/capabilities.md,Capabilities and properties of Power BI visuals - Power BI,572.0,> 365 days,2023-12-12,2023-12-12
powerbi-docs/create-reports/service-dashboard-edit-tile.md,Create or edit a dashboard tile - Power BI,560.0,> 365 days,2023-02-15,2023-02-15
powerbi-docs/connect-data/desktop-tutorial-row-level-security-onprem-ssas-tabular.md,Dynamic row-level security with Analysis services tabular model - Power BI,558.0,> 365 days,2024-01-16,2024-01-16
powerbi-docs/paginated-reports/report-design/add-background-image-report-builder-service.md,Add a background image to a Power BI paginated report - Power BI,558.0,> 365 days,2023-04-17,2023-04-17
powerbi-docs/create-reports/desktop-tips-and-tricks-for-creating-reports.md,Tips and tricks for creating reports in Power BI - Power BI,551.0,> 365 days,2024-03-07,2024-03-07
powerbi-docs/create-reports/service-dashboard-copy.md,Create a copy of a Power BI dashboard - Power BI,551.0,> 365 days,2023-02-27,2023-02-27
powerbi-docs/developer/embedded/embedded-performance-best-practices.md,Best practices for faster performance in Power BI embedded analytics - Power BI,549.0,> 365 days,2024-05-06,2024-05-06
powerbi-docs/report-server/rest-api.md,Develop with the REST APIs for Power BI Report Server - Power BI,549.0,> 365 days,2024-02-06,2024-02-06
powerbi-docs/developer/embedded/azure-pbie-create-capacity.md,Create Power BI Embedded capacity in the Azure portal - Power BI,548.0,> 365 days,2024-08-02,2024-08-02
powerbi-docs/create-reports/power-bi-on-object-interaction.md,Use on-object interaction with visuals in your report (preview) - Power BI,544.0,> 365 days,2024-02-06,2024-02-06
powerbi-docs/paginated-reports/web-authoring/get-started-paginated-formatted-table.md,Get started creating paginated reports in the Power BI service - Power BI,539.0,> 365 days,2023-09-22,2023-09-22
powerbi-docs/natural-language/q-and-a-tooling-advanced.md,Edit Q&A linguistic schema and add phrasings in Power BI Desktop - Power BI,535.0,> 365 days,2023-01-12,2023-01-12
powerbi-docs/developer/embedded/troubleshoot-rest-api.md,Troubleshoot Power BI REST APIs - Power BI,530.0,> 365 days,2024-06-04,2024-06-04
powerbi-docs/developer/embedded/embedded-troubleshoot.md,Troubleshoot Power BI embedded analytics application - Power BI,529.0,> 365 days,2024-01-24,2024-01-24
powerbi-docs/paginated-reports/paginated-reports-change-log.md,Power BI Report Builder change log - Power BI,528.0,> 365 days,2024-09-17,2024-09-17
powerbi-docs/connect-data/desktop-discourage-directquery-connections-to-dataset.md,Manage DirectQuery connections to a published semantic model - Power BI,521.0,> 365 days,2023-02-01,2023-02-01
powerbi-docs/transform-model/quick-measure-suggestions.md,Quick measure suggestions - Power BI,516.0,> 365 days,2024-10-07,2024-10-07
powerbi-docs/create-reports/power-bi-slicer-filter-responsive.md,Create a responsive slicer you can resize in Power BI - Power BI,503.0,> 365 days,2023-01-17,2023-01-17
powerbi-docs/developer/projects.md,Power BI Desktop developer mode documentation - Power BI,495.0,> 365 days,2024-02-14,
powerbi-docs/collaborate-share/service-troubleshoot-subscribe.md,FAQs about Troubleshoot subscribing to dashboards and reports - Power BI,488.0,271-365 days,2024-11-12,
powerbi-docs/paginated-reports/paginated-reports-rls.md,Set up row-level security in Power BI paginated reports - Power BI,488.0,> 365 days,2023-12-04,2023-12-04
powerbi-docs/collaborate-share/service-discovery.md,Semantic model discoverability - Power BI,483.0,> 365 days,2023-02-17,2023-02-17
powerbi-docs/collaborate-share/service-dataset-impact-analysis.md,Semantic model impact analysis - Power BI,482.0,> 365 days,2023-02-17,2023-02-17
powerbi-docs/developer/visuals/create-bar-chart.md,Build a bar chart visual in Power BI - Power BI,478.0,> 365 days,2024-05-13,2024-05-13
powerbi-docs/collaborate-share/service-dataset-external-org-share-about.md,Power BI in-place semantic model sharing with guest users in external organizations (preview) - Power BI,466.0,> 365 days,2022-12-12,2022-12-12
powerbi-docs/paginated-reports/paginated-reports-save-to-power-bi-service.md,Publish a paginated report to the Power BI service - Power BI,464.0,> 365 days,2023-01-18,2023-01-18
powerbi-docs/paginated-reports/report-builder-url-parameters.md,URL parameters in paginated reports in Power BI - Power BI,459.0,> 365 days,2023-01-18,2023-01-18
powerbi-docs/developer/visuals/office-store.md,Publish Power BI visuals - Power BI,458.0,> 365 days,2024-06-09,2024-06-09
powerbi-docs/create-reports/service-rename.md,"Rename dashboards, reports, workspaces, report pages, semantic models - Power BI",457.0,> 365 days,2023-01-24,2023-01-24
powerbi-docs/collaborate-share/service-troubleshoot-sharing.md,Troubleshoot sharing dashboards and reports - Power BI,456.0,> 365 days,2022-12-16,2022-12-16
powerbi-docs/report-server/support-timeline.md,Support timeline for Power BI Report Server - Power BI,442.0,> 365 days,2024-05-24,2024-05-24
powerbi-docs/connect-data/service-gateway-enterprise-manage-scheduled-refresh.md,Manage your data source - import and scheduled refresh - Power BI,442.0,> 365 days,2023-02-14,2023-02-14
powerbi-docs/create-reports/service-interact-with-a-report-in-editing-view.md,Interact with a report in Editing view - Power BI,441.0,> 365 days,2023-01-24,2023-01-24
powerbi-docs/transform-model/value-filter-behavior.md,Work with value filter behavior in Power BI - Power BI,441.0,> 365 days,2024-10-10,2024-10-10
powerbi-docs/collaborate-share/service-create-excel-featured-tables.md,Set featured tables in Power BI Desktop to appear in Excel - Power BI,440.0,> 365 days,2022-12-16,2022-12-16
powerbi-docs/create-reports/desktop-multi-select.md,"Multi-select data elements, data points, and visuals - Power BI",439.0,> 365 days,2023-01-17,2023-01-17
powerbi-docs/create-reports/service-dashboard-pin-tile-from-excel.md,How to pin a tile to a Power BI dashboard from Excel - Power BI,418.0,> 365 days,2023-03-06,2023-03-06
powerbi-docs/report-server/quickstart-embed.md,Embed a Power BI Report Server report using an iFrame in SharePoint Server - Power BI,415.0,> 365 days,2023-10-02,2023-10-02
powerbi-docs/paginated-reports/report-builder/export-reports-report-builder.md,Export Power BI paginated reports - Power BI,413.0,> 365 days,2023-03-02,2023-03-02
powerbi-docs/report-server/admin-handbook-overview.md,"Admin overview, Power BI Report Server - Power BI",412.0,> 365 days,2019-05-22,2019-05-22
powerbi-docs/paginated-reports/paginated-reports-pagination.md,Pagination in Power BI paginated reports - Power BI,411.0,> 365 days,2023-10-09,2023-10-09
powerbi-docs/connect-data/service-template-apps-create.md,Create template apps in Power BI - Power BI,401.0,> 365 days,2023-03-17,2023-03-17
powerbi-docs/visuals/power-bi-visualization-card-visual-considerations.md,(new) Card visual considerations & limitations - Power BI,397.0,> 365 days,2024-09-27,2024-09-27
powerbi-docs/connect-data/service-datasets-admin-across-workspaces.md,Control the use of semantic models across workspaces - Power BI,395.0,> 365 days,2024-04-01,2024-04-01
powerbi-docs/developer/visuals/power-bi-custom-visuals-faq.md,Frequently asked questions about Power BI visuals - Power BI,388.0,> 365 days,2023-12-29,
powerbi-docs/paginated-reports/expressions/report-builder-expression-examples.md,Expression examples in Power BI Report Builder - Power BI,383.0,> 365 days,2023-01-05,2023-01-05
powerbi-docs/create-reports/service-pin-tile-to-another-dashboard.md,Pin a tile from one dashboard to another dashboard - Power BI,381.0,> 365 days,2023-02-28,2023-02-28
powerbi-docs/developer/embedded/monitor-power-bi-embedded.md,Monitor Power BI Embedded - Power BI,377.0,> 365 days,2024-07-30,2024-07-30
powerbi-docs/developer/visuals/entra-id-authentication.md,Microsoft Entra ID application setup - Power BI,365.0,> 365 days,2024-07-11,2024-07-11
powerbi-docs/report-server/configure-scheduled-refresh.md,How to configure Power BI report scheduled refresh - Power BI,364.0,> 365 days,2020-06-10,2020-06-10
powerbi-docs/paginated-reports/report-builder-tables-matrices-lists.md,"Tables, matrixes, and lists in Power BI Report Builder - Power BI",363.0,> 365 days,2023-01-24,2023-01-24
